You are now connected to database "nc_news" as user "alice".
 article_id | comment_count 
------------+---------------
         29 |            10
          4 |             9
         34 |            11
         32 |             5
          9 |             8
          7 |             8
         10 |             8
         35 |            14
         15 |             4
          6 |            11
         12 |             7
         26 |            11
         24 |             5
         19 |            13
         25 |             4
         36 |             6
         31 |            12
         30 |             8
         21 |             8
         14 |             3
          3 |            10
         17 |            12
         22 |             8
         20 |             5
         28 |             5
         33 |             6
         13 |             6
          1 |             8
          5 |             6
         18 |             8
          2 |             6
         16 |            16
         27 |            13
         23 |            14
          8 |             7
         11 |             5
(36 rows)

